session_id,genderidentity,raceomb_002,D_biep.White_Good_all,Mn_RT_all_3467,edu,politicalid_7,STATE,att_7,tblacks_0to10,twhites_0to10,labels
2631935815.0,[1],6.0,0.6984494940000001,1097.2,8.0,4.0,WA,4.0,10.0,10.0,1.0
2631935817.0,[1],6.0,1.210046583,942.2833332999999,8.0,5.0,MA,4.0,8.0,8.0,1.0
2631935821.0,[2],6.0,0.217383102,1468.9,9.0,4.0,MD,4.0,9.0,8.0,1.0
2631935856.0,[1],6.0,0.257191894,1374.216667,3.0,3.0,,4.0,9.0,9.0,2.0
2631935864.0,[1],,0.796584544,788.4416667,14.0,5.0,,4.0,5.0,5.0,1.0
2631935884.0,[2],6.0,-0.018082354,1235.558333,9.0,6.0,AZ,4.0,5.0,5.0,2.0
2631935891.0,[2],6.0,-0.19013470300000002,773.7583333,4.0,6.0,,4.0,9.0,9.0,2.0
2631935981.0,[2],6.0,0.7385160159999999,1037.641667,5.0,7.0,,4.0,5.0,5.0,2.0
2631935988.0,[2],6.0,0.5892478179999999,747.2916667000003,3.0,6.0,OK,4.0,10.0,10.0,2.0
2631936015.0,[2],2.0,0.588226884,916.975,9.0,5.0,,5.0,4.0,6.0,2.0
2631936021.0,[2],6.0,0.136081105,962.4583332999997,7.0,2.0,CA,5.0,8.0,8.0,1.0
2631936029.0,[1],6.0,-0.465173055,1111.858333,7.0,7.0,MA,4.0,8.0,8.0,2.0
2631936054.0,[1],5.0,-0.43610837799999996,1069.141667,7.0,7.0,NY,1.0,10.0,5.0,1.0
2631936096.0,[1],6.0,1.113896032,1021.266667,9.0,7.0,,4.0,8.0,7.0,1.0
2631936098.0,[1],6.0,0.659895488,1026.458333,7.0,4.0,,5.0,5.0,7.0,2.0
2631936106.0,[2],,-0.124593162,1113.483333,2.0,4.0,,4.0,9.0,9.0,2.0
2631936109.0,[2],6.0,0.40599694,1219.341667,9.0,6.0,,4.0,9.0,9.0,1.0
2631936118.0,[2],6.0,0.21758717600000002,685.3666667,3.0,5.0,,4.0,10.0,9.0,1.0
2631936133.0,[1],6.0,0.5493103570000001,805.9333333,5.0,1.0,,6.0,3.0,10.0,2.0
2631936168.0,[2],6.0,-0.010949363,966.9333332999997,9.0,6.0,,4.0,9.0,9.0,1.0
2631936229.0,[1],6.0,0.5152646820000001,893.925,8.0,5.0,,5.0,4.0,4.0,2.0
2631936239.0,[2],6.0,-0.140715405,933.3083332999997,4.0,,,4.0,5.0,5.0,2.0
2631936266.0,[2],5.0,0.075326605,958.8583332999999,,,,4.0,7.0,4.0,2.0
2631936279.0,[2],6.0,0.17877115100000002,777.75,5.0,5.0,,4.0,5.0,5.0,2.0
2631936337.0,[2],6.0,0.40472499700000003,666.0,8.0,4.0,,4.0,7.0,7.0,1.0
2631936365.0,[1],6.0,0.575179643,1070.825,5.0,6.0,,4.0,5.0,5.0,1.0
2631936380.0,[2],6.0,0.536572073,821.2166667,7.0,6.0,MA,5.0,3.0,10.0,1.0
2631936438.0,[2],6.0,0.4253587720000001,800.1666667000003,5.0,6.0,,4.0,5.0,5.0,1.0
2631936469.0,[2],6.0,1.095942242,1244.641667,7.0,4.0,NY,4.0,5.0,5.0,1.0
2631936485.0,[1],6.0,0.21579822,828.325,9.0,7.0,,4.0,9.0,9.0,2.0
2631936508.0,[2],6.0,0.5569736710000001,849.9583332999997,7.0,5.0,FL,4.0,10.0,10.0,2.0
2631936521.0,[1],6.0,-0.018944482,1163.3,7.0,4.0,MO,4.0,8.0,9.0,2.0
2631936527.0,[2],5.0,0.11859447599999999,712.7666667000003,11.0,4.0,MN,3.0,9.0,5.0,1.0
2631936531.0,[1],7.0,0.779608834,1528.616667,5.0,7.0,OH,4.0,7.0,7.0,2.0
2631936591.0,[1],6.0,0.30221829899999997,1673.491667,9.0,2.0,,4.0,7.0,10.0,2.0
